,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2020 and displays the percent change from the previous year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Park,Recreation Visitors,Percent Change,Recreation Visitor Days,Percent Change,,,Non-recreation Visitors,Percent Change,Recreation Visitor Hours,Percent Change,Non-recreation Visitor Hours,Percent Change,"Concessioner
Lodging Overnights",Percent Change,"Concessioner
Camping Overnights",Percent Change,Tent Overnights,Percent Change,Recreation Vehicle Overnights,Percent Change,"Back Country
Overnights",Percent Change,Non-recreation Overnights,Percent Change,Misc. Overnights,Percent Change
,Ocmulgee Mounds NHP,"61,303",-58.28%,"7,663",-58.27%,,,0,,"91,957",-58.27%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Georgia,"6,706,170",-18.28%,"1,566,838",-16.15%,,,"27,534,793",,"18,802,094",-16.15%,"4,387,264",,0,,0,,"9,444",,0,,"2,785",,0,,628,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,
,War in the Pacific NHP,"318,711",-26.26%,"26,582",-26.56%,,,168,-84.14%,"318,991",-26.56%,84,-84.15%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Guam,"318,711",-26.26%,"26,582",-26.56%,,,168,-84.14%,"318,991",-26.56%,84,-84.15%,0,,0,,0,,0,,0,,0,,0,
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haleakala NP,"319,147",-67.91%,"59,963",-68.57%,,,"20,160",0.00%,"719,561",-68.57%,"20,160",0.00%,0,,0,,"2,400",-73.54%,0,,392,-75.74%,0,-67.45%,594,
,Hawaii Volcanoes NP,"589,775",-56.90%,"315,039",-55.48%,,,"1,865,927",0.90%,"3,780,479",-55.48%,"615,756",0.90%,"6,603",-71.97%,993,-77.98%,782,-28.32%,50,21.95%,"4,052",10.77%,0,-49.58%,"29,443",
,Kalaupapa NHP,"15,847",-77.17%,"3,176",-77.10%,,,0,,"38,116",-77.09%,0,,0,,0,,0,,0,,0,,0,,0,
,Kaloko Honokohau NHP,"133,877",-42.52%,"24,750",-43.60%,,,0,,"297,002",-43.60%,0,,0,,0,,0,,0,,0,,0,,0,
,Pearl Harbor NMEM,"415,542",-75.79%,"103,885",-75.79%,,,0,,"1,246,626",-75.79%,0,,0,,0,,0,,0,,0,,0,,0,
,Pu'uhonua o Honaunau NHP,"130,845",-68.43%,"10,903",-68.43%,,,0,,"130,845",-68.43%,0,,0,,0,,0,,0,,0,,0,,0,
,Pu'ukohola Heiau NHS,"23,970",-82.05%,998,-82.07%,,,"122,121",-10.41%,"11,983",-82.06%,"20,345",-10.41%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Hawaii,"1,629,003",-66.95%,"518,714",-63.61%,,,"2,008,208",0.12%,"6,224,612",-63.61%,"656,261",0.48%,"6,603",,993,,"3,182",-68.69%,50,,"4,444",-15.74%,0,-50.12%,"30,037",
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Rocks NRES,"110,203",10.97%,"32,142",10.97%,,,0,,"385,707",10.97%,0,,0,,0,,0,,0,,0,,0,,0,
,Craters of the Moon NM & PRES,"250,872",-7.84%,"60,734",-5.91%,,,0,,"728,813",-5.91%,0,,0,,0,,"5,481",-8.67%,"9,535",-1.49%,147,194.00%,0,1171.43%,623,
,Hagerman Fossil Beds NM,"14,113",-40.62%,"1,764",-40.63%,,,0,,"21,169",-40.62%,0,,0,,0,,0,,0,,0,,0,,0,
,Minidoka NHS,"4,764",-24.08%,433,-40.60%,,,0,,"5,201",-40.58%,0,,0,,0,,0,,0,,0,,0,,0,
,Nez Perce NHP,"301,473",39.53%,"19,851",11.36%,,,"1,800",0.00%,"238,216",11.36%,180,0.00%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Idaho,"681,425",10.33%,"114,924",-0.10%,,,"1,800",,"1,379,106",-0.10%,180,,0,,0,,"5,481",,"9,535",,147,,0,,623,
Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lincoln Home NHS,"27,744",-85.97%,"1,545",-89.45%,,,365,-54.20%,"18,544",-89.44%,"2,725",17.31%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Illinois,"27,744",-85.97%,"1,545",-89.45%,,,365,-54.20%,"18,544",-89.44%,"2,725",17.31%,0,,0,,0,,0,,0,,0,,0,
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,George Rogers Clark NHP,"56,108",-59.96%,"6,265",-59.96%,,,0,,"75,183",-59.96%,0,,0,,0,,0,,0,,0,,0,,0,
,Indiana Dunes NP,"2,293,106",7.44%,"513,739",7.75%,,,"3,943",-2.74%,"6,164,879",7.75%,"1,968",-2.77%,0,,0,,"18,572",13.83%,"4,765",-26.33%,0,,0,,0,
,Lincoln Boyhood NMEM,"110,692",-20.20%,"10,377",-20.20%,,,"16,200",0.00%,"124,527",-20.20%,"2,700",0.00%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Indiana,"2,459,906",1.94%,"530,381",4.94%,,,"20,143",,"6,364,589",4.94%,"4,668",,0,,0,,"18,572",,"4,765",,0,,0,,0,
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Effigy Mounds NM,"18,225",-72.21%,"3,796",-72.22%,,,"1,200",0.00%,"45,561",-72.21%,204,0.00%,0,,0,,0,,0,,0,,0,,0,
,Herbert Hoover NHS,"56,270",-55.23%,"4,689",-55.23%,,,"18,000",0.00%,"56,270",-55.23%,"1,200",0.00%,0,,0,,0,,0,,0,,0,,0,
,Subtotal Iowa,"74,495",-61.05%,"8,485",-64.85%,,,"19,200",0.00%,"101,831",-64.84%,"1,404",0.00%,0,,0,,0,,0,,0,,0,,0,
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brown v. Board of Education NHS,"4,064",-81.02%,677,-81.03%,,,0,,"8,128",-81.02%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Larned NHS,"21,895",-18.78%,"3,649",-18.78%,,,0,,"43,790",-18.78%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort Scott NHS,"14,652",-39.12%,"1,831",-39.13%,,,162,-61.43%,"21,978",-39.12%,54,-60.87%,0,,0,,0,,0,,0,,0,,0,
,Nicodemus NHS,262,-92.60%,21,-92.88%,,,0,,262,-92.60%,0,,0,,0,,0,,0,,0,,0,,0,
,Tallgrass Prairie NPRES,"29,009",-14.05%,"4,834",-14.06%,,,0,,"58,018",-14.05%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Kansas,"69,882",-36.31%,"11,012",-35.18%,,,162,,"132,176",-35.17%,54,,0,,0,,0,,0,,0,,0,,0,
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abraham Lincoln Birthplace NHP,"228,141",-4.23%,"19,011",-4.24%,,,0,,"228,141",-4.23%,0,,0,,0,,0,,0,,0,,0,,0,
,Big South Fork NRRA,"316,775",2.95%,"189,614",5.24%,,,0,,"2,275,378",5.24%,0,,0,-100.00%,0,,"3,383",422.07%,"8,534",-7.68%,"4,760",37.93%,0,,0,
,Cumberland Gap NHP,"683,966",4.38%,"118,372",3.14%,,,"7,144,839",-1.58%,"1,420,472",3.14%,"5,078,717",-1.65%,0,,0,,"3,489",13.72%,"13,265",12.95%,"1,044",104.71%,0,-5.75%,213,
,Mammoth Cave NP,"290,392",-47.35%,"194,422",-46.75%,,,"84,309",-22.93%,"2,333,072",-46.75%,"42,155",-22.93%,"10,602",-62.48%,0,,"18,202",-50.40%,"7,078",-34.10%,"3,090",-2.89%,0,-29.10%,"3,330",
,Subtotal Kentucky,"1,519,274",-13.32%,"521,419",-23.31%,,,"7,229,148",,"6,257,063",-23.31%,"5,120,872",,"10,602",,0,,"25,074",,"28,877",,"8,894",,0,,"3,543",
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cane River Creole NHP,"17,430",-41.75%,"2,904",-41.76%,,,0,,"34,859",-41.75%,0,,0,,0,,0,,0,,0,,0,,0,
,Jean Lafitte NHP & PRES,"192,601",-67.37%,"31,649",-69.62%,,,"192,000",0.00%,"379,796",-69.62%,"91,320",0.00%,0,,0,,0,,0,,0,,0,,0,
,New Orleans Jazz NHP,"9,640",-76.52%,"1,601",-76.78%,,,0,,"19,213",-76.78%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Louisiana,"219,671",-66.78%,"36,154",-68.85%,,,"192,000",,"433,868",-68.85%,"91,320",,0,,0,,0,,0,,0,,0,,0,
Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acadia NP,"2,669,034",-22.35%,"1,188,686",-38.50%,,,"47,100",0.00%,"14,264,234",-38.50%,"47,100",0.00%,0,,307,-71.83%,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,
,Katahdin Woods and Waters NM,"41,432",,"13,267",,,,710,,"159,206",,355,,0,,0,,180,,0,,325,,0,,0,
,Saint Croix Island IHS,"6,914",-40.46%,720,-40.45%,,,0,,"8,645",-40.45%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Maine,"2,717,380",-21.21%,"1,202,673",-37.82%,,,"47,810",1.51%,"14,432,085",-37.82%,"47,455",0.75%,0,,307,-71.83%,180,-99.87%,0,-100.00%,325,-74.69%,0,-100.00%,0,
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antietam NB,"85,884",-70.11%,"9,486",-81.29%,,,0,,"113,843",-81.29%,0,,0,,0,,0,,0,,0,,0,-98.58%,6,
,Assateague Island NS,"818,949",5.85%,"570,312",3.82%,,,"1,188",0.00%,"6,843,749",3.82%,"1,188",0.00%,0,,0,,"33,115",-22.35%,"16,252",-35.32%,69,-86.50%,0,-67.85%,"1,200",
,Catoctin Mountain Park,"539,983",81.91%,"120,971",14.18%,,,"224,656",16.87%,"1,451,652",14.18%,"24,211",6.74%,0,,0,,"2,666",-30.66%,186,-67.93%,286,-54.68%,0,-90.91%,"1,854",
,Chesapeake & Ohio Canal NHP,"3,715,211",-4.46%,"648,928",-1.63%,,,"9,024",0.00%,"7,787,141",-1.63%,"9,024",0.00%,0,,0,,"15,523",138.16%,"1,389",134.63%,0,,0,227.50%,"9,075",
,Clara Barton NHS,450,-89.02%,37,-89.15%,,,0,,450,-89.02%,0,,0,,0,,0,,0,,0,,0,,0,
,Fort McHenry NM & HS,"163,224",-61.09%,"20,402",-61.10%,,,720,0.00%,"244,833",-61.10%,360,0.00%,0,,0,,0,,0,,0,,0,,0,
,Fort Washington Park,"160,289",-62.18%,"50,042",-64.15%,,,0,,"600,506",-64.15%,0,,0,,0,,0,,0,,0,,0,,0,
,Greenbelt Park,"28,319",-78.00%,"4,328",-90.00%,,,0,,"51,942",-90.00%,0,,0,,0,,0,-100.00%,0,-100.00%,0,,0,-100.00%,0,
,Hampton NHS,"8,728",-69.09%,"1,091",-69.08%,,,600,0.00%,"13,093",-69.08%,600,0.00%,0,,0,,0,,0,,0,,0,,0,
,Monocacy NB,"155,116",7.00%,"26,771",5.48%,,,90,0.00%,"321,261",5.49%,250,0.00%,0,,0,,0,,0,,0,,0,,0,
,National Capital Parks East,"89,342",-26.20%,"11,769",-31.00%,,,"26,199,300",0.00%,"141,229",-31.00%,"18,759,077",0.00%,0,,0,,0,,0,,0,,0,,0,
,Piscataway Park,"166,484",-49.51%,"23,856",-54.39%,,,0,,"286,281",-54.39%,0,,0,,0,,0,,0,,0,,0,,0,
,Thomas Stone NHS,"2,351",-70.69%,98,-70.66%,,,0,,"1,177",-70.65%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Maryland,"5,934,330",-13.43%,"1,488,091",-12.46%,,,"26,435,578",,"17,857,157",-12.46%,"18,794,710",,0,,0,,"51,304",,"17,827",,355,,0,-56.20%,"12,135",
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adams NHP,"6,937",-96.30%,504,-96.77%,,,0,,"6,056",-96.76%,0,,0,,0,,0,,0,,0,,0,,0,
,Boston African American NHS,"89,616",-78.64%,"14,936",-78.64%,,,0,,"179,232",-78.64%,0,,0,,0,,0,,0,,0,,0,,0,
,Boston Harbor Islands NRA,"71,991",,"1,499",,,,0,,"17,997",,0,,0,,0,,0,,0,,0,,0,,0,
,Boston NHP,"277,170",-91.34%,"14,613",-93.31%,,,"29,700",-50.89%,"175,366",-93.31%,"5,049",-50.90%,0,,0,,0,,0,,0,,0,,0,
,Cape Cod NS,"4,083,505",-0.31%,"645,262",-3.63%,,,"29,548",0.00%,"7,743,147",-3.63%,"177,288",0.00%,0,-100.00%,0,,0,,0,,0,,0,-69.43%,"2,567",
,Frederick Law Olmsted NHS,"2,570",-67.01%,428,-67.03%,,,281,-54.16%,"5,140",-67.01%,310,-73.50%,0,,0,,0,,0,,0,,0,,0,
,John F. Kennedy NHS,451,-98.18%,18,-98.26%,,,0,,226,-98.18%,0,,0,,0,,0,,0,,0,,0,,0,
,Longfellow House Washington's HQ NHS,"30,014",-45.44%,"3,751",-45.45%,,,0,,"45,022",-45.44%,0,,0,,0,,0,,0,,0,,0,,0,
,Lowell NHP,"53,954",-88.80%,"7,242",-88.25%,,,164,-83.04%,"86,913",-88.24%,246,-83.03%,0,,0,,0,,0,,0,,0,,0,
,Minute Man NHP,"1,083,973",6.55%,"135,496",6.55%,,,0,,"1,625,957",6.55%,0,,0,,0,,0,,0,,0,,0,,0,
,New Bedford Whaling NHP,"18,243",-87.28%,540,-91.30%,,,0,,"6,490",-91.29%,0,,0,,0,,0,,0,,0,,0,,0,
,Salem Maritime NHS,"125,554",-62.99%,"5,237",-67.53%,,,0,,"62,852",-67.53%,0,,0,,0,,0,,0,,0,,0,,0,
,Saugus Iron Works NHS,"16,928",107.71%,"2,116",107.86%,,,"5,038",-88.96%,"25,395",107.73%,503,-88.98%,0,,0,,0,,0,,0,,0,,0,
,Springfield Armory NHS,"1,032",-95.08%,172,-95.08%,,,0,,"2,064",-95.08%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Massachusetts,"5,861,938",-41.40%,"831,814",-30.59%,,,"64,731",,"9,981,857",-30.59%,"183,396",,0,,0,,0,,0,,0,,0,,"2,567",
Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isle Royale NP,"6,493",-75.41%,"24,557",-77.94%,,,150,-48.45%,"294,687",-77.94%,"22,128",-12.43%,0,-100.00%,0,-100.00%,"2,086",-57.45%,0,,"8,024",-70.17%,912,-79.63%,"2,023",-11.88%
,Keweenaw NHP,"2,130",-89.63%,181,-94.15%,,,146,-84.06%,"2,182",-94.12%,146,-84.06%,0,,0,,0,,0,,0,,0,,0,
,Pictured Rocks NL,"1,212,251",41.17%,"480,964",36.56%,,,"3,770",9.09%,"5,771,571",36.56%,"12,074",18.49%,0,,0,,"18,085",7.32%,"10,429",67.88%,"27,707",-1.68%,0,,0,
,River Raisin NBP,"309,977",36.94%,"51,662",36.94%,,,"3,876",-40.72%,"619,952",36.94%,386,-40.98%,0,,0,,0,,0,,0,,0,,0,
,Sleeping Bear Dunes NL,"1,718,696",9.47%,"682,146",-5.98%,,,0,,"8,185,752",-5.98%,0,,0,,0,,"43,560",-26.47%,"42,612",-30.91%,"4,115",-78.66%,0,,0,
,Subtotal Michigan,"3,249,547",20.26%,"1,239,510",0.78%,,,"7,942",-29.10%,"14,874,144",0.78%,"34,734",-6.20%,0,-100.00%,0,-100.00%,"63,731",-21.31%,"53,041",,"39,846",-46.42%,912,-79.63%,"2,023",-11.88%
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Portage NM,"66,426",-30.07%,"11,808",-31.89%,,,0,,"141,698",-31.89%,0,,0,,0,,0,,0,,44,-22.81%,0,,0,
,Mississippi NRRA,"204,707",-45.37%,"31,112",-41.47%,,,0,,"373,348",-41.47%,0,,0,,0,,0,,0,,0,,0,,0,
,Pipestone NM,"38,229",-50.68%,"7,964",-50.68%,,,0,,"95,575",-50.68%,0,,0,,0,,0,,0,,0,,0,,0,
,Saint Croix NSR,"399,310",25.12%,"303,400",26.20%,,,0,,"3,640,801",26.20%,0,,0,,0,,0,,0,,"43,684",28.18%,0,,0,
,Voyageurs NP,"263,091",12.93%,"131,415",33.54%,,,0,,"1,576,986",33.54%,0,,"2,090",-43.92%,0,,0,,0,,"67,277",48.64%,0,56.02%,"39,196",
,Subtotal Minnesota,"971,763",-11.60%,"485,699",14.16%,,,0,,"5,828,408",14.16%,0,,"2,090",,0,,0,,0,,"111,005",39.81%,0,,"39,196",
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gulf Islands NS,"959,169",-22.42%,"362,815",-29.83%,,,"83,045",-19.41%,"4,353,780",-29.83%,"13,287",-19.40%,0,,0,,885,-73.67%,"9,585",-63.58%,0,,0,-2.44%,40,
,Natchez NHP,"57,646",-68.35%,"9,883",-71.20%,,,0,,"118,596",-71.20%,0,,0,,0,,0,,0,,0,,0,,0,
,Natchez Trace PKWY,"4,899,845",-2.72%,"1,639,012",-3.01%,,,"6,663,162",-9.08%,"19,668,154",-3.01%,"6,663,162",-9.08%,0,,0,,"2,583",-24.41%,"4,092",-26.90%,0,,0,,0,
,Vicksburg NMP,"176,236",-69.43%,"32,169",-69.86%,,,0,,"386,032",-69.86%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Mississippi,"6,092,896",-13.35%,"2,043,879",-12.95%,,,"6,746,207",-9.22%,"24,526,562",-12.95%,"6,676,449",-9.10%,0,,0,,"3,468",-48.83%,"13,677",-57.15%,0,,0,-2.44%,40,
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gateway Arch NP,"486,021",-76.35%,"135,256",-80.26%,,,0,,"1,623,082",-80.26%,0,,0,,0,,0,,0,,0,,0,,0,
,George Washington Carver NM,"26,569",-46.38%,"2,878",-46.39%,,,0,,"34,541",-46.38%,0,,0,,0,,0,,0,,0,,0,,0,
,Harry S Truman NHS,"9,446",-69.28%,440,-77.33%,,,0,,"5,281",-77.33%,0,,0,,0,,0,,0,,0,,0,,0,
,Ozark NSR,"1,316,795",7.80%,"323,991",16.69%,,,0,,"3,887,895",16.69%,0,,0,-100.00%,0,,"74,960",18.67%,"29,120",47.16%,"12,265",11.45%,0,44.18%,"33,014",
,Ulysses S. Grant NHS,"15,236",-61.38%,"1,904",-61.39%,,,0,,"22,855",-61.38%,0,,0,,0,,0,,0,,0,,0,,0,
,Wilson's Creek NB,"287,260",23.37%,"47,877",23.38%,,,0,,"574,525",23.37%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Missouri,"2,141,327",-41.00%,"512,346",-49.46%,,,0,,"6,148,179",-49.46%,0,,0,,0,,"74,960",,"29,120",,"12,265",,0,,"33,014",
Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Big Hole NB,"36,234",-20.99%,"5,786",5.31%,,,0,,"69,435",5.32%,0,,0,,0,,0,,0,,0,,0,,0,
,Bighorn Canyon NRA,"114,638",-14.97%,"43,288",-6.26%,,,"4,695",0.00%,"519,466",-6.26%,"2,345",0.00%,0,,0,-100.00%,737,,"1,812",,0,,0,,0,
,Glacier NP,"1,698,864",-44.30%,"1,325,800",-53.18%,,,0,-100.00%,"15,909,600",-53.18%,0,-100.00%,"34,029",-71.63%,0,,"18,635",-84.23%,"17,733",-85.94%,"16,596",-52.25%,0,-100.00%,0,
,Grant-Kohrs Ranch NHS,"15,328",-38.79%,"1,571",-38.78%,,,0,,"18,853",-38.79%,0,,0,,0,,0,,0,,0,,0,,0,
,Little Bighorn Battlefield NM,"97,461",-59.61%,"8,121",-59.61%,,,909,-57.24%,"97,461",-59.61%,454,-57.29%,0,,0,,0,,0,,0,,0,,0,
,Yellowstone NP,"1,941,215",-5.32%,"1,953,024",-5.28%,,,"23,218",6.30%,"23,436,297",-5.28%,"92,870",-8.88%,0,,0,,0,,0,,"5,907",3.02%,0,,0,
,Subtotal Montana,"3,903,740",-29.63%,"3,337,590",-32.82%,,,"28,822",,"40,051,112",-32.82%,"95,669",,"34,029",,0,,"19,372",,"19,545",,"22,503",,0,,0,
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agate Fossil Beds NM,"8,722",-47.64%,"2,299",-26.83%,,,0,,"27,594",-26.82%,0,,0,,0,,0,,0,,0,,0,,0,
,Homestead NM of America,"40,897",-33.65%,"5,772",-33.53%,,,"294,961",-7.87%,"69,269",-33.52%,"47,195",-7.87%,0,,0,,0,,0,,0,,0,,0,
,Niobrara NSR,"102,766",68.99%,"66,639",71.91%,,,0,,"799,676",71.91%,0,,0,,0,,0,,0,,0,,0,,0,
,Scotts Bluff NM,"181,900",9.57%,"28,800",9.57%,,,0,,"345,608",9.57%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Nebraska,"334,285",9.56%,"103,510",34.65%,,,"294,961",,"1,242,147",34.65%,"47,195",,0,,0,,0,,0,,0,,0,,0,
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Death Valley NP,"10,830",,"5,054",,,,0,,"60,657",,0,,0,,0,,0,,0,,0,,0,,0,
,Great Basin NP,"120,248",-8.77%,"92,511",-13.46%,,,"1,150",28.35%,"1,110,132",-13.46%,575,28.06%,0,,0,,"19,965",-3.71%,"15,827",-11.15%,239,397.92%,0,-78.35%,71,
,Lake Mead NRA,"6,012,382",6.90%,"3,601,571",-4.72%,,,"197,969",-10.61%,"43,218,860",-4.72%,"1,187,825",-10.61%,"7,637",-76.36%,"152,378",31.92%,"35,980",-52.24%,"45,792",-52.24%,"23,620",-80.76%,0,-11.21%,"35,128",
,Subtotal Nevada,"6,143,460",6.73%,"3,699,136",-4.83%,,,"199,119",,"44,389,649",,"1,188,400",,"7,637",,"152,378",,"55,945",,"61,619",,"23,859",,0,,"35,199",
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saint-Gaudens NHP,"13,286",-58.17%,"2,066",-59.81%,,,0,,"24,794",-59.81%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal New Hampshire,"13,286",-58.17%,"2,066",-59.81%,,,0,,"24,794",-59.81%,0,,0,,0,,0,,0,,0,,0,,0,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delaware Water Gap NRA,"2,888,656",20.55%,"994,420",17.08%,,,"38,340",0.00%,"11,933,048",17.08%,"19,176",0.00%,0,,0,,0,,0,,"10,692",-14.63%,0,-53.44%,"5,719",
,Gateway NRA,"2,022,046",26.20%,"582,182",20.95%,,,"190,080",-6.55%,"6,986,190",20.95%,"380,160",-6.55%,0,,0,,0,-100.00%,0,,0,,0,-33.63%,294,
,Morristown NHP,"262,361",-3.31%,"58,807",-10.86%,,,0,,"705,689",-10.86%,0,,0,,0,,0,,0,,0,,0,,0,
,Paterson Great Falls NHP,"339,768",22.67%,"42,471",-7.75%,,,0,,"509,652",-7.76%,0,,0,,0,,0,,0,,0,,0,,0,
,Thomas Edison NHP,"7,605",-81.99%,552,-87.62%,,,0,,"6,628",-87.61%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal New Jersey,"5,520,436",20.30%,"1,678,432",15.98%,,,"228,420",-5.51%,"20,141,207",15.98%,"399,336",-6.25%,0,,0,,0,,0,,"10,692",-14.63%,0,-52.75%,"6,013",
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aztec Ruins NM,"30,223",-52.61%,"3,777",-52.62%,,,"1,649",-38.08%,"45,333",-52.61%,"1,649",-38.08%,0,,0,,0,,0,,0,,0,,0,
,Bandelier NM,"94,948",-52.70%,"31,169",-59.71%,,,840,0.00%,"374,028",-59.71%,216,0.00%,0,,0,,"1,836",-61.85%,"2,906",-53.31%,232,-60.34%,0,-99.65%,20,
,Capulin Volcano NM,"63,335",-22.40%,"7,233",-23.60%,,,239,-37.11%,"86,802",-23.60%,239,-37.11%,0,,0,,0,,0,,0,,0,,0,
,Carlsbad Caverns NP,"183,835",-58.28%,"56,358",-59.93%,,,0,,"676,302",-59.93%,0,,0,,0,,0,,0,,116,-48.44%,0,,0,
,Chaco Culture NHP,"8,231",-82.61%,"3,892",-92.23%,,,"10,560",0.00%,"46,714",-92.23%,"10,560",0.00%,0,,0,,218,-97.49%,554,-91.36%,0,,0,-100.00%,0,
,El Malpais NM,"139,336",-12.33%,"46,444",-12.33%,,,720,0.00%,"557,335",-12.33%,180,0.00%,0,,0,,0,,0,,0,,0,,0,
,El Morro NM,"36,328",-47.25%,"9,542",-47.71%,,,"7,712",-46.01%,"114,515",-47.70%,"2,545",-45.98%,0,,0,,"1,263",-49.72%,941,-46.75%,0,,0,,0,
,Fort Union NM,"5,334",-51.79%,524,-51.79%,,,140,-36.36%,"6,294",-51.79%,14,-36.36%,0,,0,,0,,0,,0,,0,,0,
,Gila Cliff Dwellings NM,"31,645",-52.49%,"3,955",-52.50%,,,0,,"47,468",-52.49%,0,,0,,0,,0,,0,,0,,0,,0,
,Manhattan Project NHP,"1,517",-93.04%,100,-93.84%,,,0,,"1,205",-93.82%,0,,0,,0,,0,,0,,0,,0,,0,
,Pecos NHP,"36,695",-16.29%,"3,630",-22.19%,,,0,,"43,564",-22.18%,0,,0,,0,,0,,0,,0,,0,,0,
,Petroglyph NM,"356,492",21.27%,"59,415",21.27%,,,0,,"712,985",21.27%,0,,0,,0,,0,,0,,0,,0,,0,
,Salinas Pueblo Missions NM,"26,982",-14.81%,"4,563",-12.84%,,,0,,"54,757",-12.85%,0,,0,,0,,0,,0,,0,,0,,0,
,Valles Caldera NPRES,"30,434",,"8,852",,,,488,,"106,224",,"3,904",,0,,0,,0,,0,,218,,0,,0,
,White Sands NP,"415,383",-31.77%,"71,033",-43.99%,,,0,,"852,405",-43.99%,0,,0,,0,,0,,0,,808,-80.96%,0,,0,
,Subtotal New Mexico,"1,460,718",-31.73%,"310,487",-43.91%,,,"22,348",-24.67%,"3,725,931",-43.91%,"19,307",3.07%,0,,0,,"3,317",,"4,401",,"1,374",,0,,20,
New York,,,,,,,,,,,,,,,,,,,,,,,,,,,
,African Burial Ground NM,"7,908",-83.33%,602,-78.60%,,,0,,"7,232",-78.58%,0,,0,,0,,0,,0,,0,,0,,0,
,Castle Clinton NM,"633,793",-85.47%,"26,455",-85.51%,,,146,-75.42%,"317,463",-85.51%,29,-75.00%,0,,0,,0,,0,,0,,0,,0,
,Eleanor Roosevelt NHS,"9,575",-79.90%,"1,197",-79.90%,,,0,,"14,364",-79.90%,0,,0,,0,,0,,0,,0,,0,,0,
,Federal Hall NMEM,"13,822",-94.78%,816,-94.90%,,,421,-75.96%,"9,797",-94.90%,545,-69.07%,0,,0,,0,,0,,0,,0,,0,
,Fire Island NS,"250,449",-36.00%,"88,165",-30.77%,,,"191,136",3.53%,"1,057,990",-30.77%,"573,408",3.53%,0,,"5,790",8.94%,0,,0,,"3,714",16.14%,0,-21.52%,"9,848",
,Fort Stanwix NM,"24,134",-75.22%,"3,016",-75.23%,,,0,,"36,199",-75.23%,0,,0,,0,,0,,0,,0,,0,,0,
,Gateway NRA,"6,382,680",-18.21%,"1,371,153",-17.42%,,,"669,907",-27.91%,"16,453,846",-17.42%,"1,339,816",-27.91%,0,,0,,0,-100.00%,0,-100.00%,0,,0,-72.96%,477,
